PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2
278,2020/8/10,25:33.6,2020/8/10,25:33.6,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,150.69943,-3.339482,2.544218,2333.08158,160.677998,11:15,1.721904,-0.375032,1.675263,-28.4898,53.9452,-17.9741,0.482897,0.171063,137.66676,-5.50101,1.285399,0.410025,,,,,,,,,,,,10.8514,30.3632,0.308689,15.24,1.630523,-1.73667,-41.338913,-2.509537,2.427446,8.972182,-3.014467,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,ea130c60-dac9-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.9422,,,13.03267,,,,16.764346,-41.668443,4.486091,1.720661,-2.398822,-1.507233,0.37411,-1.825826,1.213723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2020/8/10,25:42.6,2020/8/10,25:42.6,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,152.97682,-1.985389,3.566718,2436.766359,158.398653,11:15,1.737532,-0.379543,1.688049,-28.2281,51.5706,-19.4093,0.888333,0.443758,139.64195,-4.131208,2.208617,0.403415,,,,,,,,,,,,12.2516,28.1598,0.28674,15.24,1.682765,-2.505916,-41.97282,-1.552294,2.827704,9.177153,-3.307294,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,ef720490-dac9-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.3661,,,13.33488,,,,16.751429,-42.301996,4.588576,1.736317,-1.433665,-1.653647,0.378444,-2.607343,1.413852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2020/8/10,25:55.7,2020/8/10,25:55.7,1,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,151.41565,-2.104082,2.007291,2367.577726,154.062474,11:15,1.731069,-0.37738,1.749367,-30.3975,49.9674,-23.101,0.829304,-0.038472,138.80055,-4.404086,0.380799,0.404844,146.14113,23.372129,-58.139765,4507.69977,15.451884,12.402046,-29.755075,94.721397,,-70.540786,3.728457,13.1492,27.6497,0.328207,15.24,1.675472,-1.334641,-41.629296,-1.634303,2.99385,8.783788,-3.511261,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,f73e7a50-dac9-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,149.83544,14.729597,,12.6151,,,,16.690575,-41.93425,4.391894,1.730096,-1.512399,-1.755631,0.376347,-1.438581,1.496925,0.344139,0.775983,0.069801,127.359584,0.344128,19.671002,-6.394777,1.7295,-0.396666,0.077202,-0.01193,0.00125,-6.20E-05,0.776,16.10264,-4.838756,0.059779,0.05403,-0.020701,0.004268,-0.000422,1.60E-05,0.069802,-31.649431,3.359929,-0.534009,0.062067,-0.003293,2.00E-06,-7.00E-06,1.00E-06,,,,,,,,,,,,,,,,,,,,,,
281,2020/8/10,26:15.2,2020/8/10,26:15.3,1,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,152.68018,-2.409193,3.327775,2498.579255,167.624754,11:30,1.715688,-0.384744,1.739264,-20.5534,58.8797,-12.3724,0.824422,0.43763,139.68212,-4.01718,2.45929,0.40249,,,,,,,,,,,,8.5321,32.2814,0.30061,15.24,1.652527,-2.368324,-41.910487,-1.815556,1.967485,8.9675,-2.362576,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,02e39660-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.71171,,,12.99806,,,,16.700318,-42.221792,4.48375,1.714131,-1.73354,-1.181288,0.384011,-2.436625,0.983742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2020/8/10,26:26.9,2020/8/10,26:26.9,1,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,152.93495,-3.462095,1.069905,2395.119434,166.663142,11:30,1.719259,-0.341875,1.71841,-23.255,55.6069,-12.6247,0.500898,-0.163861,140.84227,-5.240161,0.182373,0.40104,103.89254,32.322178,-112.648426,5553.008995,-17.016559,10.820389,-28.888808,55.228929,,-129.029713,3.112411,7.1277,31.2477,0.315173,15.24,1.627783,-0.716203,-42.030713,-2.615316,1.661667,8.562547,-2.521901,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,09ce37a0-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,151.25655,10.975135,,12.09268,,,,16.721759,-42.331502,4.281274,1.718099,-2.526725,-1.26095,0.341357,-0.774575,0.830833,0.236524,0.504655,0.149159,60.255498,0.236525,-9.391022,-0.975222,0.173298,-0.028471,0.005739,-0.000794,6.00E-05,-2.00E-06,0.504655,15.43034,-6.367696,0.578655,-0.087982,0.020864,-0.002876,0.00018,-3.00E-06,0.149158,-22.50681,3.035595,-0.16238,0.040799,-0.003879,-0.000584,0.000139,-8.00E-06,,,,,,,,,,,,,,,,,,,,,,
283,2020/8/10,26:47.5,2020/8/10,26:47.5,1,6,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,154.65823,-2.570934,3.616858,2445.241794,159.188378,11:15,1.674693,-0.386717,1.689985,-22.7492,54.8607,-19.9631,0.712932,0.445264,142.06544,-4.317118,2.220104,0.397844,,,,,,,,,,,,12.4049,30.0829,0.292753,15.24,1.604908,-2.569552,-42.447906,-1.97844,2.94838,8.771857,-2.656595,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,160fbac0-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,152.47167,,,12.59279,,,,16.749857,-42.758779,4.385929,1.673356,-1.884291,-1.328298,0.385669,-2.674042,1.47419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2020/8/10,27:00.9,2020/8/10,27:00.9,1,7,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,,Out,1,0,,154.51359,-3.879314,1.960987,2182.465737,153.572787,11:00,1.694157,-0.375478,1.8292,-28.652,47.5085,-22.5062,0.309743,-0.046513,142.6985,-6.037429,0.368329,0.394112,,,,,,,,,,,,12.8463,27.6125,0.329965,15.24,1.599091,-1.335463,-42.458713,-2.977222,3.06245,8.551551,-3.224034,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,1e11e680-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,153.91568,,,11.81509,,,,16.611042,-42.733961,4.275776,1.693248,-2.873451,-1.612017,0.374536,-1.434034,1.531225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2020/8/10,27:33.6,2020/8/10,27:33.6,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,125.56237,0.862776,1.937557,2722.438833,340.289634,5:15,1.667314,-0.339415,1.499927,-146.9582,-27.691,11.0438,0.446511,0.329565,117.39163,-9.479016,2.705301,0.493191,,,,,,,,,,,,-4.3171,-13.4178,0.280663,15.24,1.677974,-1.222657,-34.565127,-0.126841,-0.683727,5.521252,-11.93173,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,319a34a0-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,122.99497,,,8.17074,,,,16.941523,-34.835859,2.760626,1.669849,0.458226,-5.965865,0.339793,-1.18913,-0.341864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2020/8/10,27:45.7,2020/8/10,27:45.7,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,154.67154,-2.462291,2.448201,2349.109455,157.111418,11:15,1.686263,-0.396502,1.756766,-29.0401,47.356,-19.0817,0.696294,0.107606,142.94124,-4.643952,1.104812,0.394721,,,,,,,,,,,,11.2215,26.3312,0.33611,15.24,1.621931,-1.714114,-42.536951,-1.933768,2.691608,8.358924,-3.490785,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,38c9ce20-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,153.6781,,,11.7303,,,,16.683329,-42.81964,4.179462,1.685333,-1.815714,-1.745392,0.395618,-1.805141,1.345804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2020/8/10,27:56.1,2020/8/10,27:56.1,2,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,154.85258,-2.695557,3.001748,2497.39677,164.661129,11:30,1.705236,-0.352581,1.771302,-26.8588,49.3471,-12.9412,0.671045,0.369556,143.05791,-4.724411,2.090795,0.394229,,,,,,,,,,,,8.449,27.5463,0.278482,15.24,1.635848,-2.161261,-42.559738,-2.096693,2.027942,8.405396,-3.194975,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200810-JinguStadium-2,3eff0210-daca-11ea-b2f9-c9bbca5d2268,e6a1fa76-8fc0-40e4-9e95-fc2e5084e7b8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,153.86977,,,11.79467,,,,16.668762,-42.840984,4.202698,1.704215,-1.989789,-1.597487,0.351934,-2.229117,1.013971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
