PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,TaggedPitchType,PitchCall,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,Distance,Bearing,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,CatchPositionX,CatchPositionY,CatchPositionZ,BasePositionX,BasePositionY,BasePositionZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2021/4/10,1,1,"Soma, Tokuyama",Right,WAS_EDA,"Reo, Akutsu",Left,TOK,1,Top,Fastball,FoulBall,143.0,-1.6,-3.8,1857.0,224.7,1:30,1.69,0.64,1.88,-43.11,46.94,43.25,0.82,0.00,129.34,-4.83,-0.71,0.43,99.91999,69.156416,-76.948562,4970.008148,,,-25.1769,26.3555,-0.550892,15.24,1.651255,2.371643,-39.241381,-1.20666,-5.021637,8.885273,-4.549926,141.55036,8.45831,13.67109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2021/4/10,1,2,"Soma, Tokuyama",Right,WAS_EDA,"Reo, Akutsu",Left,TOK,1,Top,Fastball,StrikeCalled,143.5,-0.7,-2.4,1984.1,225.4,1:30,1.71,0.64,1.95,-45.50,43.65,40.92,1.05,0.38,128.71,-4.18,0.51,0.43,,,,,,,-23.1005,24.2214,-0.59342,15.24,1.689222,1.452891,-39.419908,-0.625748,-4.604158,9.706206,-4.979094,142.2618,,14.82902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2021/4/10,1,3,"Soma, Tokuyama",Right,WAS_EDA,"Reo, Akutsu",Left,TOK,1,Top,Fastball,BallCalled,144.1,-1.2,-4.3,1941.0,224.0,1:30,1.67,0.65,1.92,-46.86,42.17,37.54,0.86,-0.19,129.31,-4.75,-1.66,0.43,89.10731,32.647555,16.395078,2590.517541,49.778363,15.030546,-23.0082,23.8099,-0.559118,15.24,1.637182,2.800578,-39.504823,-0.974359,-4.611109,9.656774,-5.034858,142.36017,10.690049,14.8311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2021/4/10,2,1,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,BallCalled,144.5,-0.9,-2.0,1970.4,232.3,1:45,1.71,0.64,1.92,-51.49,36.74,43.18,0.94,0.51,129.67,-4.79,1.06,0.42,,,,,,,-23.774,20.7528,-0.596968,15.24,1.685667,1.174851,-39.687101,-0.801032,-4.802457,9.844314,-5.614486,143.00523,,14.8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2021/4/10,2,2,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,FoulBall,144.4,0.0,-3.3,1846.2,224.2,1:30,1.67,0.67,1.92,-49.03,39.81,35.40,1.20,0.11,128.98,-3.68,-0.76,0.43,,,,,,,-20.9845,21.5205,-0.599431,15.24,1.671773,2.082328,-39.603345,-0.128193,-4.210548,9.991855,-5.488561,142.51125,,15.40585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2021/4/10,2,3,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,BallCalled,144.5,-0.9,-2.7,1808.1,228.7,1:30,1.67,0.68,1.94,-51.82,36.78,37.96,0.91,0.30,129.02,-4.79,0.01,0.43,,,,,,,-21.88,20.8424,-0.618333,15.24,1.650727,1.673385,-39.637204,-0.771978,-4.388388,10.169551,-5.626356,142.70676,,15.43029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2021/4/10,2,4,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,StrikeSwinging,142.9,-0.6,-4.3,1901.7,230.6,1:45,1.68,0.68,1.92,-56.44,33.98,37.34,0.93,-0.17,128.39,-4.87,-1.70,0.43,,,,,,,-22.7749,19.1199,-0.584486,15.24,1.659558,2.788341,-39.159968,-0.631622,-4.493783,9.344161,-6.034045,141.25914,,14.46588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2021/4/10,2,5,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,FoulBall,144.4,-0.8,-2.0,1914.7,232.8,1:45,1.68,0.69,1.96,-54.01,33.31,39.82,0.93,0.53,130.48,-4.82,0.84,0.42,,,,,,,-22.2833,18.9019,-0.647972,15.24,1.665621,1.194578,-39.695301,-0.709471,-4.53353,9.335598,-5.961059,143.74614,,13.88953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2021/4/10,2,6,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,BallCalled,143.8,-1.1,-4.2,1917.5,223.7,1:30,1.69,0.66,1.95,-51.30,36.32,32.02,0.87,-0.19,131.15,-4.93,-1.88,0.42,144.50271,56.58835,44.058306,4651.335278,71.489816,73.024232,-19.7668,20.6038,-0.569311,15.24,1.658408,2.719303,-39.494725,-0.927268,-4.024788,8.405341,-5.611447,143.50035,33.021491,12.64632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2021/4/10,2,7,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,FoulBall,143.8,-0.9,-3.7,1930.3,230.4,1:45,1.68,0.68,1.92,-55.94,32.56,35.68,0.87,-0.01,130.20,-5.08,-1.20,0.42,109.31184,74.080671,-137.481892,5232.874743,,,-21.4254,18.5229,-0.599635,15.24,1.660497,2.406393,-39.48366,-0.816889,-4.325312,9.012907,-6.067272,142.78065,29.531996,13.61557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
