PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
0,2025/11/3,00:07.7,1,1,"Makino, Haruto",1000424350,Right,HOS_HOS,"Hayashi, Jyunji",1000325862,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,139.78057,-1.607969,-3.332353,1949.605272,199.07642,12:45,1.771012,0.510901,2.048049,-57.1621,32.7473,10.4955,0.750545,-0.313562,130.024,-5.847861,-2.580781,0.42821,125.0028,6.642501,168.293967,1913.98026,,,,26.745505,18.645285,172.012885,0.855406,-7.4053,19.0413,-0.444065,15.24,1.735787,2.193034,-38.478351,-1.267257,-1.459176,6.546822,-6.05465,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,7124ffb0-b850-11f0-8430-1192ff4de812,141.65933,1.463122,,9.75656,,,,0.839439,0.794412,0.092238,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,00:07.7,2025-11-03T10:00:07.7016576+09:00,2025-11-03T01:00:07.7016576Z,GroundBall,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,c4feb069-0abb-4540-86f3-6b6a218b4d39,16.391217,-38.673727,3.273411,1.77091,-1.086569,-3.027325,-0.510161,2.23658,-0.729588,,0.839439,-33.772572,2.309484,-0.228428,0.032823,-0.001625,7.60E-05,2.00E-05,-9.00E-06,0.794412,4.016548,-6.202376,0.57484,-0.11424,0.024104,-0.004373,0.000831,-0.000107,0.092238,6.997672,-3.726203,0.695895,-0.153714,0.029385,-0.005945,0.001137,-0.000131,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
1,2025/11/3,00:23.2,1,2,"Makino, Haruto",1000424350,Right,HOS_HOS,"Hayashi, Jyunji",1000325862,Right,KEI_KEI,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.1146,3.260126,-1.263751,2370.235816,46.726837,7:30,1.748416,0.542148,1.785121,-180.121,-33.426,-41.0628,0.871637,-0.226409,102.60743,-9.751975,-4.164205,0.546968,,,,,,,,,,,,19.6943,-17.9914,-0.508114,15.24,1.816872,0.85629,-31.050414,1.128435,2.431567,6.095668,-12.027961,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,7a956170-b850-11f0-8430-1192ff4de812,110.9022,,,10.50717,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,00:23.2,2025-11-03T10:00:23.2203776+09:00,2025-11-03T01:00:23.2203776Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,097a6c7a-f69d-4102-b77a-8334be5ce899,16.655427,-31.327052,3.047834,1.753274,1.674296,-6.01398,-0.544471,0.745939,1.215784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025/11/3,00:36.8,1,3,"Makino, Haruto",1000424350,Right,HOS_HOS,"Hayashi, Jyunji",1000325862,Right,KEI_KEI,Undefined,1,Top,0,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,130.64306,-0.974382,-3.457291,2131.363529,159.742258,11:15,1.714545,0.567045,1.945543,-85.9505,20.113,-6.1898,0.581316,-0.465394,119.94789,-7.28306,-3.897639,0.465091,,,,,,,,,,,,0.7315,12.268,-0.490821,15.24,1.688431,2.195891,-35.902335,-0.908057,0.123123,6.92522,-7.741807,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,829da7b0-b850-11f0-8430-1192ff4de812,130.42614,,,10.69518,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,00:36.8,2025-11-03T10:00:36.8014848+09:00,2025-11-03T01:00:36.8014848Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,b9a4a57f-a588-421b-a098-e50885430fa0,16.493749,-36.143362,3.46261,1.715346,-0.638609,-3.870903,-0.567172,2.191606,0.061562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025/11/3,01:02.0,2,1,"Makino, Haruto",1000424350,Right,HOS_HOS,"Sadakane, Kensho",1000325891,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,138.14631,-2.308069,-2.225368,2098.120813,194.542201,12:30,1.730681,0.538506,2.011224,-55.0055,38.3238,9.2144,0.535295,0.008935,127.33511,-6.407673,-1.565865,0.436278,101.67937,29.435416,-13.552707,3853.872939,31.588374,9.882796,-11.238219,52.101313,50.084956,-22.960686,3.039294,-6.3512,22.6037,-0.492661,15.24,1.679826,1.437675,-38.020546,-1.708628,-1.207257,7.265429,-5.510043,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,919b3d90-b850-11f0-8430-1192ff4de812,139.03971,10.195647,,10.8112,,,,0.177748,0.462789,0.008054,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,01:02.0,2025-11-03T10:01:01.9807744+09:00,2025-11-03T01:01:01.9807744Z,FlyBall,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,4dd14087-67fd-4150-b6f1-c5f35a3b3410,16.428619,-38.247007,3.632715,1.730407,-1.536882,-2.755022,-0.538059,1.475305,-0.603629,138.812835,0.177668,23.916616,-4.623642,1.112427,-0.301602,0.101077,-0.031867,0.006134,-0.000476,0.462849,13.878005,-5.26227,0.209735,0.040997,-0.038925,0.014172,-0.00219,0.000103,0.008052,-5.76406,-0.901544,0.416727,-0.12838,0.030684,-0.005994,0.000766,-4.10E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025/11/3,01:29.8,3,1,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,0,0,Curveball,Other,BallCalled,Undefined,Undefined,Undefined,0,0,,102.29175,3.209583,-1.945918,2149.371522,55.919696,7:45,1.67644,0.547893,1.90016,-199.7008,-25.1239,-45.1779,0.583351,-0.451239,94.59136,-11.242446,-5.158263,0.596689,,,,,,,,,,,,21.8699,-13.68,-0.501127,15.24,1.73791,1.113157,-28.130805,0.986198,2.245893,4.492826,-11.211496,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,a24e72b0-b850-11f0-8430-1192ff4de812,101.66099,,,7.70039,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,01:29.8,2025-11-03T10:01:29.8523648+09:00,2025-11-03T01:01:29.8523648Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,8aa8b0e6-6c1e-4b1f-b041-ea4e70009bb4,16.541189,-28.337859,2.246413,1.680555,1.502884,-5.605748,-0.550042,1.009654,1.122946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025/11/3,01:43.5,3,2,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,131.11892,-1.629394,-3.185698,2289.96118,95.566794,9:15,1.701388,0.57463,1.954496,-99.95,6.1393,-26.5985,0.244459,-0.584991,119.97545,-8.919884,-5.081027,0.465147,,,,,,,,,,,,11.3305,5.6416,-0.503879,15.24,1.660551,2.120161,-36.015696,-1.381319,1.900077,7.603763,-8.860577,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,aa5643c0-b850-11f0-8430-1192ff4de812,130.41031,,,11.14347,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,01:43.5,2025-11-03T10:01:43.4887168+09:00,2025-11-03T01:01:43.4887168Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,99f8fed1-1460-43ec-9d95-01901bcadac7,16.484894,-36.277571,3.801882,1.702869,-1.07616,-4.430289,-0.575771,2.054722,0.950038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025/11/3,01:58.2,3,3,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,2,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,117.16044,3.29554,-0.171648,2496.216749,61.857631,8:00,1.715191,0.584811,1.7613,-152.7879,-18.7163,-42.3057,1.122956,0.113075,108.04501,-7.711919,-3.154367,0.522905,,,,,,,,,,,,21.3317,-10.4174,-0.577468,15.24,1.787158,0.27635,-32.226793,1.295352,2.90728,5.324285,-11.22643,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,b30662c0-b850-11f0-8430-1192ff4de812,116.00571,,,9.11544,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,01:58.2,2025-11-03T10:01:58.1809664+09:00,2025-11-03T01:01:58.1809664Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,cf3c264d-b2ba-4269-9444-8c2c97ff0563,16.679635,-32.463768,2.662142,1.718384,1.795022,-5.613215,-0.586888,0.146951,1.45364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025/11/3,02:11.7,3,4,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,137.50164,-0.852912,-2.197354,1988.383254,187.565992,12:15,1.734447,0.573873,2.062131,-59.375,34.5823,4.2041,0.903099,0.003986,125.96365,-5.303279,-1.895605,0.437744,,,,,,,,,,,,-3.7582,19.8077,-0.53029,15.24,1.714679,1.434064,-37.853165,-0.747636,-0.704505,7.563179,-6.093557,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,bb295cf0-b850-11f0-8430-1192ff4de812,138.57427,,,11.53799,,,,,,,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,02:11.7,2025-11-03T10:02:11.7073408+09:00,2025-11-03T01:02:11.7073408Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,51f6ad6a-430a-4afc-9244-f6712b20ae17,16.377003,-38.079664,3.78159,1.734337,-0.565149,-3.046778,-0.573553,1.455162,-0.352253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025/11/3,02:24.7,3,5,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,136.9916,-1.064859,-3.483786,2061.021095,193.24599,12:30,1.695288,0.589078,2.106978,-54.2769,39.8851,8.7052,0.856371,-0.292039,125.65551,-5.155346,-2.858539,0.43822,122.90748,66.018025,116.265932,5042.145259,,,,,14.371951,,,-7.0654,22.8838,-0.522726,15.24,1.672491,2.258661,-37.690079,-0.857785,-1.314724,7.409541,-5.548449,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,c2e8da60-b850-11f0-8430-1192ff4de812,138.42356,23.982261,,11.33609,,,,0.177913,0.783229,0.358015,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,02:24.7,2025-11-03T10:02:24.7273984+09:00,2025-11-03T01:02:24.7273984Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,80545638-e54c-44c3-b862-617e76483514,16.332675,-37.904281,3.70477,1.69497,-0.697386,-2.774224,-0.58857,2.296668,-0.657362,339.5448,0.177913,-6.14091,-2.542792,1.239882,-0.385184,0.104608,-0.027133,0.006201,-0.000834,0.783229,31.193695,-9.872372,1.41871,-0.27787,0.050266,-0.01344,0.004719,-0.000962,0.358015,12.443811,-1.518331,0.200907,-0.008606,-0.004643,0.000216,0.000818,-0.000276,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2025/11/3,02:58.2,3,6,"Makino, Haruto",1000424350,Right,HOS_HOS,"Watanabe, Kei",1000325904,Right,KEI_KEI,Undefined,1,Top,2,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,139.72748,-1.157236,-3.162553,2101.937859,200.187699,12:45,1.721058,0.502205,2.114578,-50.5986,40.8762,13.8623,0.893484,-0.237457,126.57697,-5.009434,-2.165691,0.431922,140.09003,47.532176,-4.929051,4249.08502,33.51092,34.055937,-1.069953,74.332124,71.794196,0.030929,5.745377,-9.8822,23.6251,-0.442591,15.24,1.696843,2.063121,-38.414072,-0.918765,-1.885294,8.649372,-5.29952,HOS_HOS,KEI_KEI,JinguStadium,Tokyo Big6,TBIG6,20251103-JinguStadium-1,d6d62be0-b850-11f0-8430-1192ff4de812,140.442,37.598064,,13.1505,,,,0.327741,0.715875,0.183661,4dda624f-57d2-437c-ac31-b43588822f0f,2025/11/3,02:58.2,2025-11-03T10:02:58.1980672+09:00,2025-11-03T01:02:58.1980672Z,FlyBall,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,722a6db9-f998-4307-b1af-79ccc34c9d02,16.324588,-38.657508,4.324686,1.720603,-0.76961,-2.64976,-0.501404,2.116183,-0.942647,187.761078,0.329424,26.143619,-6.995929,1.871835,-0.331681,0.033596,-0.001068,-6.80E-05,3.00E-06,0.71589,28.702204,-6.329455,0.222996,0.110103,-0.063685,0.016164,-0.002031,9.90E-05,0.183385,-2.251523,1.456479,-0.474806,0.10172,-0.013439,0.000764,2.10E-05,-3.00E-06,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
