Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Flagged
1,03-26-2026 01:00,1774486834,134.2,33,-2,0,92,12:22,0,0,859,12:22,859,12:22,川尻,Taiga,MTD-22119CB2427,8
2,03-26-2026 01:02,1774486943,140.7,20,-13,0,78,11:24,0,0,1085,11:24,1085,11:24,川尻,Taiga,MTD-22119CB2427,5
3,03-26-2026 01:02,1774486968,148.5,12,-5,0,62,12:54,0,0,1771,12:54,1771,12:54,川尻,Taiga,MTD-22119CB2427,2
4,03-26-2026 01:03,1774487022,132.6,26,19,0,81,1:26,0,0,1873,1:26,1873,1:26,川尻,Taiga,MTD-22119CB2427,6
5,03-26-2026 01:03,1774487030,140.1,22,-9,0,83,11:58,0,0,1213,11:58,1213,11:58,川尻,Taiga,MTD-22119CB2427,3
6,03-26-2026 01:05,1774487103,136.8,16,15,0,65,1:52,0,0,2921,1:52,2921,1:52,大平,Masaki,MTD-22119CB2427,6
7,03-26-2026 01:05,1774487146,145.6,15,-14,0,69,10:50,0,0,2949,10:50,2949,10:50,大平,Masaki,MTD-22119CB2427,4
8,03-26-2026 01:06,1774487176,133.5,27,0,0,84,12:36,0,0,2292,12:36,2292,12:36,大平,Masaki,MTD-22119CB2427,8
9,03-26-2026 01:06,1774487196,143.1,16,-19,0,69,10:16,0,0,919,10:16,919,10:16,大平,Masaki,MTD-22119CB2427,5
10,03-26-2026 01:08,1774487294,136.8,-16,-28,0,2,6:56,0,0,1261,6:56,1261,6:56,永田,Taichi,MTD-22119CB2427,4
11,03-26-2026 01:11,1774487475,142.6,-6,-3,0,4,5:20,0,0,1597,5:20,1597,5:20,永田,Taichi,MTD-22119CB2427,5
12,03-26-2026 01:12,1774487570,114.6,23,-29,0,62,10:12,0,0,1536,10:12,1536,10:12,福元,Shunji,MTD-22119CB2427,4
13,03-26-2026 01:14,1774487656,136.2,21,9,0,77,1:20,0,0,2535,1:20,2535,1:20,福元,Shunji,MTD-22119CB2427,4
14,03-26-2026 01:14,1774487671,133.3,22,-9,0,76,11:58,0,0,2768,11:58,2768,11:58,福元,Shunji,MTD-22119CB2427,4
15,03-26-2026 01:17,1774487863,136.3,-14,-32,0,2,7:08,0,0,1836,7:08,1836,7:08,金子,Taiga,MTD-22119CB2427,4
16,03-26-2026 01:17,1774487871,121.9,20,17,0,62,1:40,0,0,2710,1:40,2710,1:40,金子,Taiga,MTD-22119CB2427,5
17,03-26-2026 01:17,1774487877,125,31,-13,0,80,11:42,0,0,1018,11:42,1018,11:42,金子,Taiga,MTD-22119CB2427,4
18,03-26-2026 01:18,1774487907,135,1,-16,0,19,7:12,0,0,2945,7:12,2945,7:12,金子,Taiga,MTD-22119CB2427,4
19,03-26-2026 01:18,1774487914,138.4,11,-17,0,53,9:36,0,0,2160,9:36,2160,9:36,金子,Taiga,MTD-22119CB2427,1
20,03-26-2026 01:18,1774487938,128.1,8,-6,0,36,2:28,0,0,517,2:28,517,2:28,金子,Taiga,MTD-22119CB2427,5
21,03-26-2026 01:20,1774488021,131.8,9,11,0,41,2:26,0,0,2789,2:26,2789,2:26,金子,Taiga,MTD-22119CB2427,5
22,03-26-2026 01:20,1774488049,134.3,7,1,0,39,2:36,0,0,721,2:36,721,2:36,金子,Taiga,MTD-22119CB2427,
23,03-26-2026 01:22,1774488121,125.5,32,-6,0,82,12:08,0,0,1083,12:08,1083,12:08,佐藤寛,Masaki,MTD-22119CB2427,1
