PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026/5/16,00:32.9,1,1,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Tanoue, Kai",1000338425,Left,MEI_MEI,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,136.32741,-0.22881,-2.549776,2585.841371,133.095524,10:30,1.701095,0.743379,1.785341,-84.1024,14.1709,-12.1617,0.795212,-0.10076,126.07057,-6.326944,-3.407469,0.447685,,,,,,,,,,,,4.5721,8.3041,-0.679443,15.24,1.689534,1.728773,-37.510536,-0.486605,0.848641,6.846299,-8.265301,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,05f60b30-50cb-11f1-9189-39f1cca7bde1,135.49707,,,10.25684,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,00:32.9,2026-05-16T11:00:32.8781312+09:00,2026-05-16T02:00:32.8781312Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,4511af93-8559-437b-959c-5eaf29ea84e9,16.654531,-37.767829,3.423149,1.701985,-0.175984,-4.132651,-0.743813,1.69688,0.424321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026/5/16,00:44.9,1,2,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Tanoue, Kai",1000338425,Left,MEI_MEI,Undefined,1,Top,0,0,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,137.74068,-0.079145,-2.741819,2484.627561,138.307134,10:30,1.710825,0.732499,1.737076,-86.8909,9.7231,-6.2835,0.819412,-0.109667,127.65998,-6.347936,-3.183602,0.443889,,,,,,,,,,,,1.4867,5.8599,-0.661864,15.24,1.702276,1.845913,-37.897956,-0.416303,0.282512,6.777737,-8.693149,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,0d1db570-50cb-11f1-9189-39f1cca7bde1,136.65572,,,10.0807,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,00:44.9,2026-05-16T11:00:44.8898048+09:00,2026-05-16T02:00:44.8898048Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,6e6bb987-1c7b-455c-9cb2-d827ae41618a,16.702969,-38.158699,3.388869,1.711858,-0.081873,-4.346575,-0.732668,1.835045,0.141256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026/5/16,01:00.4,1,3,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Tanoue, Kai",1000338425,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,150.25631,-1.770879,-2.718319,2511.70085,216.12943,1:15,1.718754,0.730918,1.870046,-38.9631,41.1724,28.3299,0.829544,0.247889,138.28721,-4.68685,-0.709804,0.404266,148.26435,19.467769,-42.459364,3190.338306,22.56881,9.625276,-24.794648,89.524474,76.980297,-54.627455,3.191303,-16.4157,23.1735,-0.669402,15.24,1.675052,1.818783,-41.336693,-1.417415,-3.698696,8.350196,-4.585342,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,16579de0-50cb-11f1-9189-39f1cca7bde1,150.04969,10.761042,,11.9691,,,,-0.039128,0.809872,-0.25693,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,01:00.4,2026-05-16T11:01:00.4154368+09:00,2026-05-16T02:01:00.4154368Z,LineDrive,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,95538a3d-0bb0-40c6-977a-5663df49a9fb,16.569988,-41.604489,4.175098,1.718151,-1.270361,-2.292671,-0.729634,1.937402,-1.849348,121.640329,-0.039126,28.646903,-7.136965,1.813087,-0.406497,0.07522,-0.01094,0.000953,-1.80E-05,0.809858,13.726481,-4.996372,0.153215,0.023677,-0.001906,-0.003188,0.001357,-0.000162,-0.256924,-26.213079,1.142016,0.138373,-0.115955,0.038148,-0.008262,0.001082,-6.80E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026/5/16,01:19.2,1,4,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Tanoue, Kai",1000338425,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,148.4131,-2.547324,-2.151483,2437.329066,219.913003,1:15,1.712598,0.680182,1.863489,-40.1435,41.3384,32.7527,0.592309,0.401102,137.96038,-5.52499,0.171653,0.407648,,,,,,,,,,,,-18.1795,23.5536,-0.631909,15.24,1.650407,1.37187,-40.862103,-1.963786,-4.041383,7.349751,-4.57059,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,218e8ed0-50cb-11f1-9189-39f1cca7bde1,148.80493,,,10.45272,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,01:19.2,2026-05-16T11:01:19.2110000+09:00,2026-05-16T02:01:19.2110000Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,f5b55916-4ad5-4992-88fc-4499123ba652,16.576874,-41.101859,3.674876,1.712036,-1.814689,-2.285295,-0.678811,1.503704,-2.020691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.37488,3.051311,1.99721,1.054102,-0.48244,0.502319,-0.404891,-0.556203,1.349041,-0.299937,20.226128,1.357667,-17.805558,-0.547527,21.204255,-1.423096,1.368561,5.014144,-4.773796,-0.324413,-19.057757,2.355604,High,High,High,,,High,Medium,Medium
5,2026/5/16,01:46.8,2,1,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,MEI_MEI,Undefined,1,Top,1,0,2,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,148.44364,-1.097316,-4.330137,2493.097516,228.854958,1:45,1.701792,0.721985,1.912548,-45.5566,36.1393,38.6508,0.937006,-0.110421,136.75609,-4.490575,-1.589653,0.408183,,,,,,,,,,,,-22.7369,20.1941,-0.626461,15.24,1.674286,2.896904,-40.798126,-0.946638,-5.003238,7.918465,-5.362949,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,32038270-50cb-11f1-9189-39f1cca7bde1,148.60991,,,11.68755,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,01:46.8,2026-05-16T11:01:46.8009984+09:00,2026-05-16T02:01:46.8009984Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,e05953f5-f69b-4de5-ba52-f037447b8252,16.527551,-41.047265,3.959233,1.701416,-0.777903,-2.681474,-0.720083,3.054321,-2.501619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026/5/16,01:57.5,2,2,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,MEI_MEI,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,150.48082,-1.869898,-2.796433,2472.637928,218.532663,1:15,1.728229,0.715154,1.80708,-35.2411,45.6179,34.3394,0.846193,0.267088,137.88845,-4.522459,-0.371529,0.406087,125.16057,35.098004,-127.446113,3397.310751,-22.625534,15.79991,-24.742915,81.209721,34.199913,-138.131642,3.542812,-19.4487,25.3929,-0.649316,15.24,1.68021,1.838337,-41.364437,-1.474246,-4.371451,8.682856,-4.09914,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,385dca90-50cb-11f1-9189-39f1cca7bde1,149.37697,16.598883,,12.59238,,,,-0.248064,0.789955,-0.267023,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,01:57.5,2026-05-16T11:01:57.4940160+09:00,2026-05-16T02:01:57.4940160Z,FlyBall,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,c187bd87-a3ef-46e9-a6cb-26a243e36ee1,16.632717,-41.655758,4.341428,1.727366,-1.336715,-2.04957,-0.713455,1.985004,-2.185726,55.521009,-0.248037,-17.297044,-0.257936,0.139698,0.042407,-0.051763,0.019622,-0.003564,0.00026,0.790025,19.987879,-7.222526,0.728123,-0.123479,0.009188,0.001466,-0.000275,1.00E-06,-0.266878,-22.587575,3.52827,-0.764533,0.186067,-0.058164,0.018399,-0.003334,0.000239,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2026/5/16,02:14.5,2,3,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,MEI_MEI,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,135.21418,-1.454215,-3.195378,2517.177227,75.070476,8:30,1.661687,0.753783,1.784398,-98.919,1.0233,-6.6054,0.25994,-0.218128,125.7401,-8.559732,-3.661427,0.45147,,,,,,,,,,,,1.3686,2.1877,-0.674154,15.24,1.618582,2.106522,-37.189616,-1.343882,0.249835,6.693071,-9.407289,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,42854750-50cb-11f1-9189-39f1cca7bde1,134.36096,,,9.47408,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,02:14.5,2026-05-16T11:02:14.5133568+09:00,2026-05-16T02:02:14.5133568Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,f5b934dc-07b1-418b-80f5-11c7ab259903,16.656219,-37.443628,3.346536,1.662809,-0.986862,-4.703644,-0.753919,2.09704,0.124917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026/5/16,02:30.5,2,4,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,MEI_MEI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,151.29941,-0.360747,-3.59411,2491.393437,214.684632,1:15,1.710115,0.699334,2.023614,-30.8865,47.1938,30.9698,1.300394,0.004883,138.06573,-2.742297,-1.380979,0.399048,,,,,,,,,,,,-18.6715,25.7488,-0.626559,15.24,1.700954,2.460258,-41.606505,-0.343376,-4.23248,9.059255,-3.969876,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,4c1713c0-50cb-11f1-9189-39f1cca7bde1,152.01169,,,13.23368,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,02:30.6,2026-05-16T11:02:30.5508352+09:00,2026-05-16T02:02:30.5508352Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,9221f0cc-3599-4a95-b64e-68c758af57ca,16.415832,-41.861743,4.529627,1.709053,-0.231527,-1.984938,-0.697555,2.579506,-2.11624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026/5/16,02:49.2,2,5,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,MEI_MEI,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,150.28982,-1.506141,-4.267753,2514.257923,218.488008,1:15,1.690611,0.703728,1.968871,-33.7901,45.5967,34.3607,0.929756,-0.149748,138.00236,-4.075464,-1.823425,0.402373,106.82523,33.319081,-127.489896,3675.559274,-22.922759,11.161498,-24.467643,57.813432,29.321768,-136.825969,2.823927,-20.7811,25.5831,-0.613426,15.24,1.656181,2.915292,-41.302724,-1.19192,-4.669972,8.420542,-4.057571,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,573329b0-50cb-11f1-9189-39f1cca7bde1,150.75563,11.313285,,12.28746,,,,-0.028249,0.907346,0.156355,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,02:49.2,2026-05-16T11:02:49.2239360+09:00,2026-05-16T02:02:49.2239360Z,FlyBall,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,c5f851c3-92b8-480d-ad95-a5d82958ccfc,16.47126,-41.552987,4.210271,1.689813,-1.071327,-2.028785,-0.702134,3.054086,-2.334986,50.735408,-0.028198,-15.09353,-0.307347,0.170416,-0.01443,-0.004932,0.002264,-5.40E-05,-4.10E-05,0.907367,16.299028,-7.053621,0.654631,-0.139196,0.033632,-0.009661,0.002216,-0.00022,0.156404,-19.677274,2.660969,-0.475379,0.210171,-0.125754,0.055919,-0.012911,0.001159,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026/5/16,03:14.7,2,6,"Takahashi, Koki",1000326144,Right,WAS_EDA,"Okada, Keigo",1000242813,Left,,Undefined,1,Top,1,2,2,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,140.62441,0.087824,-2.451205,1293.712824,267.259669,3:00,1.664764,0.761688,1.825701,-87.9683,5.4134,46.784,0.809911,0.5367,127.70414,-6.338448,0.861409,0.436401,,,,,,,,,,,,-25.9343,3.6512,-0.70584,15.24,1.661094,1.42357,-38.654502,-0.300712,-5.018739,8.627246,-9.100069,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20260516-JinguStadium-1,66703990-50cb-11f1-9189-39f1cca7bde1,139.00062,,,12.92027,,,,,,,afea34c9-bccf-4802-9e54-9cdb203d754b,2026/5/16,03:14.7,2026-05-16T11:03:14.7392512+09:00,2026-05-16T02:03:14.7392512Z,,v3,,,,"Ogata, Mikito",1000326132,Right,WAS_EDA,4470b8ba-65fb-4cf1-adaf-4ba61f7521ba,16.614214,-38.960003,4.313623,1.666037,0.021533,-4.550034,-0.759398,1.60129,-2.50937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
